t,x_planet,y_planet,x_sputnik,y_sputnik,vx_planet,vy_planet,vx_sputnik,vy_sputnik,energy
1.499007648997192e+06,7.797567860065411e+11,1.948521219370509e+10,6.564637732826096e+11,1.403398351575593e+10,-3.265470477672371e+02,1.299600532470856e+04,-8.336253657216295e+04,9.306476945930273e+03,-1.642369237915023e+35
1.536482840222122e+06,7.797443946764348e+11,1.997223610013331e+10,6.533395341182382e+11,1.438274106816989e+10,-3.347613698439706e+02,1.299579749131976e+04,-8.337388051429910e+04,9.306237668409192e+03,-1.642369237915023e+35
1.573958031447052e+06,7.797316955154695e+11,2.045925212183069e+10,6.502148674772694e+11,1.473148945605006e+10,-3.429755616295363e+02,1.299558452735758e+04,-8.338535050267985e+04,9.305987813619289e+03,-1.642369237915024e+35
1.611433222671982e+06,7.797186885285861e+11,2.094626006652946e+10,6.470897686256204e+11,1.508022827916230e+10,-3.511896200220525e+02,1.299536643289910e+04,-8.339694711815934e+04,9.305727174264031e+03,-1.642369237915024e+35
1.648908413896912e+06,7.797053737208416e+11,2.143325974196476e+10,6.439642328050612e+11,1.542895712929421e+10,-3.594035419173011e+02,1.299514320802331e+04,-8.340867106681014e+04,9.305455531896416e+03,-1.642369237915023e+35
1.686383605121841e+06,7.796917510974094e+11,2.192025095587472e+10,6.408382552287107e+11,1.577767558984194e+10,-3.676173242089960e+02,1.299491485281112e+04,-8.342052317012484e+04,9.305172657157867e+03,-1.642369237915024e+35
1.723858796346771e+06,7.796778206635796e+11,2.240723351600056e+10,6.377118310768726e+11,1.612638323540469e+10,-3.758309637890147e+02,1.299468136734532e+04,-8.343250435662625e+04,9.304878309948475e+03,-1.642369237915024e+35
1.761333987571701e+06,7.796635824247585e+11,2.289420723008663e+10,6.345849554931624e+11,1.647507963138441e+10,-3.840444575476014e+02,1.299444275171060e+04,-8.344461565467887e+04,9.304572239537305e+03,-1.642369237915024e+35
1.798809178796631e+06,7.796490363864691e+11,2.338117190588047e+10,6.314576235808842e+11,1.682376433358863e+10,-3.922578023735440e+02,1.299419900599349e+04,-8.345685818632909e+04,9.304254184619997e+03,-1.642369237915024e+35
1.836284370021561e+06,7.796341825543510e+11,2.386812735113292e+10,6.283298303996216e+11,1.717243688783458e+10,-4.004709951543295e+02,1.299395013028243e+04,-8.346923316203021e+04,9.303923873329593e+03,-1.642369237915024e+35
1.873759561246491e+06,7.796190209341604e+11,2.435507337359817e+10,6.252015709620111e+11,1.752109682955288e+10,-4.086840327762810e+02,1.299369612466771e+04,-8.348174187613177e+04,9.303581023205525e+03,-1.642369237915024e+35
1.911234752471421e+06,7.796035515317704e+11,2.484200978103380e+10,6.220728402306724e+11,1.786974368338935e+10,-4.168969121246780e+02,1.299343698924145e+04,-8.349438570303172e+04,9.303225341124797e+03,-1.642369237915024e+35
1.948709943696351e+06,7.795877743531705e+11,2.532893638120092e+10,6.189436331152710e+11,1.821837696280364e+10,-4.251096300838637e+02,1.299317272409767e+04,-8.350716609390608e+04,9.302856523198770e+03,-1.642369237915024e+35
1.986185134921280e+06,7.795716894044674e+11,2.581585298186415e+10,6.158139444696949e+11,1.856699616966333e+10,-4.333221835373393e+02,1.299290332933220e+04,-8.352008457394374e+04,9.302474254638266e+03,-1.642369237915024e+35
2.023660326146210e+06,7.795552966918843e+11,2.630275939079179e+10,6.126837690893253e+11,1.891560079383243e+10,-4.415345693678482e+02,1.299262880504274e+04,-8.353314274002481e+04,9.302078209589279e+03,-1.642369237915024e+35
2.061135517371140e+06,7.795385962217612e+11,2.678965541575578e+10,6.095531017083873e+11,1.926419031275325e+10,-4.497467844574512e+02,1.299234915132882e+04,-8.354634225879076e+04,9.301668050941153e+03,-1.642369237915024e+35
2.098610708596070e+06,7.795215880005553e+11,2.727654086453187e+10,6.064219369973665e+11,1.961276419102050e+10,-4.579588256875938e+02,1.299206436829182e+04,-8.355968486506141e+04,9.301243430108694e+03,-1.642369237915024e+35
2.136085899821000e+06,7.795042720348403e+11,2.776341554489961e+10,6.032902695604784e+11,1.996132187994687e+10,-4.661706899391657e+02,1.299177445603493e+04,-8.357317236056108e+04,9.300803986789429e+03,-1.642369237915024e+35
